Mood,Tempo (BPM),Energy (RMS),Timbre (Centroid)
sad,92.28515625,0.23032948,2102.291622827347
sad,143.5546875,0.21159312,2128.4168500240407
sad,129.19921875,0.22084534,1476.3545726142088
sad,60.09265988372093,0.24503787,776.3323955246505
sad,129.19921875,0.11151838,1627.3363559528996
sad,66.25600961538461,0.22649646,1369.2440120393615
sad,161.4990234375,0.21358523,2096.5069647415157
sad,151.99908088235293,0.22268167,2170.295914099548
sad,80.74951171875,0.23783013,2094.127764318999
sad,172.265625,0.2624095,2233.9783782792865
sad,161.4990234375,0.14851809,2122.107763994848
sad,135.99917763157896,0.11577691,986.0428002782769
sad,99.38401442307692,0.20954354,2303.731750448916
sad,123.046875,0.18912385,1526.0251364013832
sad,73.828125,0.15069659,1777.559056977084
sad,107.666015625,0.20400132,1435.756042845629
sad,64.599609375,0.1750371,1420.9306145143328
sad,151.99908088235293,0.1498416,2181.678496110748
sad,89.10290948275862,0.07523493,2480.6406249812344
sad,151.99908088235293,0.203797,1810.6678189589456
sad,78.30255681818181,0.3024316,2009.3752286363065
sad,86.1328125,0.23205067,1454.5946216321622
sad,117.45383522727273,0.30158043,1843.1294930009908
sad,92.28515625,0.13270201,389.3889988603778
